filepath,sign_id,subject_id,repetition,fps,frames,width,height
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\001_006_004.mp4,1,6,4,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\001_006_005.mp4,1,6,5,59.94,148,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\001_007_001.mp4,1,7,1,59.94,88,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\001_007_002.mp4,1,7,2,59.94,88,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\001_007_003.mp4,1,7,3,59.94,148,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\001_007_004.mp4,1,7,4,59.94,148,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\001_007_005.mp4,1,7,5,59.94,88,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\001_008_001.mp4,1,8,1,59.94,88,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\001_008_002.mp4,1,8,2,59.94,88,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\001_008_003.mp4,1,8,3,59.94,88,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\001_008_004.mp4,1,8,4,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\001_008_005.mp4,1,8,5,59.94,88,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\001_009_001.mp4,1,9,1,59.94,178,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\001_009_002.mp4,1,9,2,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\001_009_003.mp4,1,9,3,59.94,88,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\001_009_004.mp4,1,9,4,59.94,88,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\001_009_005.mp4,1,9,5,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\001_010_001.mp4,1,10,1,59.94,148,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\001_010_002.mp4,1,10,2,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\001_010_003.mp4,1,10,3,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\001_010_004.mp4,1,10,4,59.94,88,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\001_010_005.mp4,1,10,5,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\002_001_001.mp4,2,1,1,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\002_001_002.mp4,2,1,2,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\002_001_003.mp4,2,1,3,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\002_001_004.mp4,2,1,4,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\002_001_005.mp4,2,1,5,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\002_002_001.mp4,2,2,1,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\002_002_002.mp4,2,2,2,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\002_002_003.mp4,2,2,3,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\002_002_004.mp4,2,2,4,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\002_002_005.mp4,2,2,5,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\002_003_001.mp4,2,3,1,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\002_003_002.mp4,2,3,2,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\002_003_003.mp4,2,3,3,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\002_003_004.mp4,2,3,4,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\002_003_005.mp4,2,3,5,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\002_004_001.mp4,2,4,1,59.94,148,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\002_004_002.mp4,2,4,2,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\002_004_003.mp4,2,4,3,59.94,148,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\002_004_004.mp4,2,4,4,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\002_004_005.mp4,2,4,5,59.94,148,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\002_005_001.mp4,2,5,1,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\002_005_002.mp4,2,5,2,59.94,148,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\002_005_003.mp4,2,5,3,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\002_005_004.mp4,2,5,4,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\002_005_005.mp4,2,5,5,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\002_006_001.mp4,2,6,1,59.94,148,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\002_006_002.mp4,2,6,2,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\002_006_003.mp4,2,6,3,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\002_006_004.mp4,2,6,4,59.94,148,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\002_006_005.mp4,2,6,5,59.94,148,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\002_007_001.mp4,2,7,1,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\002_007_002.mp4,2,7,2,59.94,88,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\002_007_003.mp4,2,7,3,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\002_007_004.mp4,2,7,4,59.94,88,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\002_007_005.mp4,2,7,5,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\002_008_001.mp4,2,8,1,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\002_008_002.mp4,2,8,2,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\002_008_003.mp4,2,8,3,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\002_008_004.mp4,2,8,4,59.94,148,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\002_008_005.mp4,2,8,5,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\002_009_001.mp4,2,9,1,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\002_009_002.mp4,2,9,2,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\002_009_003.mp4,2,9,3,59.94,148,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\002_009_004.mp4,2,9,4,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\002_009_005.mp4,2,9,5,59.94,148,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\002_010_001.mp4,2,10,1,59.94,148,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\002_010_002.mp4,2,10,2,59.94,148,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\002_010_003.mp4,2,10,3,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\002_010_004.mp4,2,10,4,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\002_010_005.mp4,2,10,5,59.94,88,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\003_001_001.mp4,3,1,1,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\003_001_002.mp4,3,1,2,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\003_001_003.mp4,3,1,3,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\003_001_004.mp4,3,1,4,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\003_001_005.mp4,3,1,5,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\003_002_001.mp4,3,2,1,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\003_002_002.mp4,3,2,2,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\003_002_003.mp4,3,2,3,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\003_002_004.mp4,3,2,4,59.94,148,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\003_002_005.mp4,3,2,5,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\003_003_001.mp4,3,3,1,59.94,148,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\003_003_002.mp4,3,3,2,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\003_003_003.mp4,3,3,3,59.94,148,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\003_003_004.mp4,3,3,4,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\003_003_005.mp4,3,3,5,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\003_004_001.mp4,3,4,1,59.94,148,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\003_004_002.mp4,3,4,2,59.94,148,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\003_004_003.mp4,3,4,3,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\003_004_004.mp4,3,4,4,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\003_004_005.mp4,3,4,5,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\003_005_001.mp4,3,5,1,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\003_005_002.mp4,3,5,2,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\003_005_003.mp4,3,5,3,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\003_005_004.mp4,3,5,4,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\003_005_005.mp4,3,5,5,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\003_006_001.mp4,3,6,1,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\003_006_002.mp4,3,6,2,59.94,148,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\003_006_003.mp4,3,6,3,59.94,148,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\003_006_004.mp4,3,6,4,59.94,148,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\003_006_005.mp4,3,6,5,59.94,148,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\003_007_001.mp4,3,7,1,59.94,88,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\003_007_002.mp4,3,7,2,59.94,88,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\003_007_003.mp4,3,7,3,59.94,88,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\003_007_004.mp4,3,7,4,59.94,88,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\003_007_005.mp4,3,7,5,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\003_008_001.mp4,3,8,1,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\003_008_002.mp4,3,8,2,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\003_008_003.mp4,3,8,3,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\003_008_004.mp4,3,8,4,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\003_008_005.mp4,3,8,5,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\003_009_001.mp4,3,9,1,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\003_009_002.mp4,3,9,2,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\003_009_003.mp4,3,9,3,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\003_009_004.mp4,3,9,4,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\003_009_005.mp4,3,9,5,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\003_010_001.mp4,3,10,1,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\003_010_002.mp4,3,10,2,59.94,88,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\003_010_003.mp4,3,10,3,59.94,88,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\003_010_004.mp4,3,10,4,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\003_010_005.mp4,3,10,5,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\004_001_001.mp4,4,1,1,59.94,88,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\004_001_002.mp4,4,1,2,59.94,88,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\004_001_003.mp4,4,1,3,59.94,88,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\004_001_004.mp4,4,1,4,59.94,88,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\004_001_005.mp4,4,1,5,59.94,88,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\004_002_001.mp4,4,2,1,59.94,148,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\004_002_002.mp4,4,2,2,59.94,148,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\004_002_003.mp4,4,2,3,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\004_002_004.mp4,4,2,4,59.94,88,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\004_002_005.mp4,4,2,5,59.94,88,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\004_003_001.mp4,4,3,1,59.94,88,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\004_003_002.mp4,4,3,2,59.94,88,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\004_003_003.mp4,4,3,3,59.94,88,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\004_003_004.mp4,4,3,4,59.94,88,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\004_003_005.mp4,4,3,5,59.94,88,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\004_004_001.mp4,4,4,1,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\004_004_002.mp4,4,4,2,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\004_004_003.mp4,4,4,3,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\004_004_004.mp4,4,4,4,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\004_004_005.mp4,4,4,5,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\004_005_001.mp4,4,5,1,59.94,88,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\004_005_002.mp4,4,5,2,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\004_005_003.mp4,4,5,3,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\004_005_004.mp4,4,5,4,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\004_005_005.mp4,4,5,5,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\004_006_001.mp4,4,6,1,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\004_006_002.mp4,4,6,2,59.94,148,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\004_006_003.mp4,4,6,3,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\004_006_004.mp4,4,6,4,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\004_006_005.mp4,4,6,5,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\004_007_001.mp4,4,7,1,59.94,88,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\004_007_002.mp4,4,7,2,59.94,88,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\004_007_003.mp4,4,7,3,59.94,88,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\004_007_004.mp4,4,7,4,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\004_007_005.mp4,4,7,5,59.94,88,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\004_008_001.mp4,4,8,1,59.94,88,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\004_008_002.mp4,4,8,2,59.94,88,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\004_008_003.mp4,4,8,3,59.94,88,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\004_008_004.mp4,4,8,4,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\004_008_005.mp4,4,8,5,59.94,88,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\004_009_001.mp4,4,9,1,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\004_009_002.mp4,4,9,2,59.94,88,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\004_009_003.mp4,4,9,3,59.94,88,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\004_009_004.mp4,4,9,4,59.94,88,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\004_009_005.mp4,4,9,5,59.94,88,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\004_010_001.mp4,4,10,1,59.94,88,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\004_010_002.mp4,4,10,2,59.94,88,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\004_010_003.mp4,4,10,3,59.94,88,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\004_010_004.mp4,4,10,4,59.94,88,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\004_010_005.mp4,4,10,5,59.94,88,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\005_001_001.mp4,5,1,1,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\005_001_002.mp4,5,1,2,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\005_001_003.mp4,5,1,3,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\005_001_004.mp4,5,1,4,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\005_001_005.mp4,5,1,5,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\005_002_001.mp4,5,2,1,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\005_002_002.mp4,5,2,2,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\005_002_003.mp4,5,2,3,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\005_002_004.mp4,5,2,4,59.94,148,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\005_002_005.mp4,5,2,5,59.94,148,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\005_003_001.mp4,5,3,1,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\005_003_002.mp4,5,3,2,59.94,148,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\005_003_003.mp4,5,3,3,59.94,148,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\005_003_004.mp4,5,3,4,59.94,148,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\005_003_005.mp4,5,3,5,59.94,148,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\005_004_001.mp4,5,4,1,59.94,148,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\005_004_002.mp4,5,4,2,59.94,148,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\005_004_003.mp4,5,4,3,59.94,178,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\005_004_004.mp4,5,4,4,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\005_004_005.mp4,5,4,5,59.94,148,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\005_005_001.mp4,5,5,1,59.94,148,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\005_005_002.mp4,5,5,2,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\005_005_003.mp4,5,5,3,59.94,148,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\005_005_004.mp4,5,5,4,59.94,148,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\005_005_005.mp4,5,5,5,59.94,148,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\005_006_001.mp4,5,6,1,59.94,148,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\005_006_002.mp4,5,6,2,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\005_006_003.mp4,5,6,3,59.94,148,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\005_006_004.mp4,5,6,4,59.94,148,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\005_006_005.mp4,5,6,5,59.94,148,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\005_007_001.mp4,5,7,1,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\005_007_002.mp4,5,7,2,59.94,88,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\005_007_003.mp4,5,7,3,59.94,88,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\005_007_004.mp4,5,7,4,59.94,88,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\005_007_005.mp4,5,7,5,59.94,118,1920,1080
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\005_008_001.mp4,5,8,1,59.94,148,1920,1080
