sequence_path,label
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\002_003_003.npy,1
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\002_003_004.npy,1
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\002_003_005.npy,1
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\002_004_001.npy,1
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\002_004_002.npy,1
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\002_004_003.npy,1
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\002_004_004.npy,1
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\002_004_005.npy,1
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\002_005_001.npy,1
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\002_005_002.npy,1
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\002_005_003.npy,1
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\002_005_004.npy,1
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\002_005_005.npy,1
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\002_006_001.npy,1
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\002_006_002.npy,1
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\002_006_003.npy,1
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\002_006_004.npy,1
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\002_006_005.npy,1
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\002_007_001.npy,1
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\002_007_002.npy,1
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\002_007_003.npy,1
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\002_007_004.npy,1
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\002_007_005.npy,1
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\003_001_001.npy,2
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\003_001_002.npy,2
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\003_001_003.npy,2
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\003_001_004.npy,2
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\003_001_005.npy,2
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\003_002_001.npy,2
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\003_002_002.npy,2
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\003_002_003.npy,2
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\003_002_004.npy,2
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\003_002_005.npy,2
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\003_003_001.npy,2
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\003_003_002.npy,2
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\003_003_003.npy,2
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\003_003_004.npy,2
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\003_003_005.npy,2
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\003_004_001.npy,2
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\003_004_002.npy,2
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\003_004_003.npy,2
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\003_004_004.npy,2
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\003_004_005.npy,2
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\003_005_001.npy,2
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\003_005_002.npy,2
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\003_005_003.npy,2
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\003_005_004.npy,2
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\003_005_005.npy,2
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\003_006_001.npy,2
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\003_006_002.npy,2
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\003_006_003.npy,2
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\003_006_004.npy,2
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\003_006_005.npy,2
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\003_007_001.npy,2
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\003_007_002.npy,2
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\003_007_003.npy,2
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\003_007_004.npy,2
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\003_007_005.npy,2
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\004_001_001.npy,3
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\004_001_002.npy,3
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\004_001_003.npy,3
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\004_001_004.npy,3
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\004_001_005.npy,3
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\004_002_001.npy,3
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\004_002_002.npy,3
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\004_002_003.npy,3
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\004_002_004.npy,3
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\004_002_005.npy,3
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\004_003_001.npy,3
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\004_003_002.npy,3
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\004_003_003.npy,3
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\004_003_004.npy,3
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\004_003_005.npy,3
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\004_004_001.npy,3
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\004_004_002.npy,3
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\004_004_003.npy,3
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\004_004_004.npy,3
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\004_004_005.npy,3
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\004_005_001.npy,3
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\004_005_002.npy,3
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\004_005_003.npy,3
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\004_005_004.npy,3
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\004_005_005.npy,3
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\004_006_001.npy,3
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\004_006_002.npy,3
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\004_006_003.npy,3
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\004_006_004.npy,3
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\004_006_005.npy,3
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\004_007_001.npy,3
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\004_007_002.npy,3
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\004_007_003.npy,3
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\004_007_004.npy,3
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\004_007_005.npy,3
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\005_001_001.npy,4
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\005_001_002.npy,4
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\005_001_003.npy,4
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\005_001_004.npy,4
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\005_001_005.npy,4
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\005_002_001.npy,4
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\005_002_002.npy,4
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\005_002_003.npy,4
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\005_002_004.npy,4
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\005_002_005.npy,4
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\005_003_001.npy,4
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\005_003_002.npy,4
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\005_003_003.npy,4
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\005_003_004.npy,4
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\005_003_005.npy,4
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\005_004_001.npy,4
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\005_004_002.npy,4
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\005_004_003.npy,4
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\005_004_004.npy,4
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\005_004_005.npy,4
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\005_005_001.npy,4
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\005_005_002.npy,4
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\005_005_003.npy,4
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\005_005_004.npy,4
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\005_005_005.npy,4
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\005_006_001.npy,4
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\005_006_002.npy,4
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\005_006_003.npy,4
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\005_006_004.npy,4
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\005_006_005.npy,4
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\005_007_001.npy,4
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\005_007_002.npy,4
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\005_007_003.npy,4
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\005_007_004.npy,4
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\005_007_005.npy,4
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\006_001_001.npy,5
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\006_001_002.npy,5
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\006_001_003.npy,5
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\006_001_004.npy,5
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\006_001_005.npy,5
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\006_002_001.npy,5
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\006_002_002.npy,5
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\006_002_003.npy,5
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\006_002_004.npy,5
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\006_002_005.npy,5
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\006_003_001.npy,5
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\006_003_002.npy,5
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\006_003_003.npy,5
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\006_003_004.npy,5
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\006_003_005.npy,5
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\006_004_001.npy,5
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\006_004_002.npy,5
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\006_004_003.npy,5
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\006_004_004.npy,5
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\006_004_005.npy,5
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\006_005_001.npy,5
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\006_005_002.npy,5
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\006_005_003.npy,5
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\006_005_004.npy,5
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\006_005_005.npy,5
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\006_006_001.npy,5
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\006_006_002.npy,5
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\006_006_003.npy,5
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\006_006_004.npy,5
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\006_006_005.npy,5
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\006_007_001.npy,5
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\006_007_002.npy,5
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\006_007_003.npy,5
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\006_007_004.npy,5
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\006_007_005.npy,5
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\007_001_001.npy,6
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\007_001_002.npy,6
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\007_001_003.npy,6
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\007_001_004.npy,6
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\007_001_005.npy,6
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\007_002_001.npy,6
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\007_002_002.npy,6
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\007_002_003.npy,6
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\007_002_004.npy,6
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\007_002_005.npy,6
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\007_003_001.npy,6
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\007_003_002.npy,6
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\007_003_003.npy,6
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\007_003_004.npy,6
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\007_003_005.npy,6
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\007_004_001.npy,6
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\007_004_002.npy,6
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\007_004_003.npy,6
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\007_004_004.npy,6
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\007_004_005.npy,6
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\007_005_001.npy,6
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\007_005_002.npy,6
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\007_005_003.npy,6
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\007_005_004.npy,6
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\007_005_005.npy,6
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\007_006_001.npy,6
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\007_006_002.npy,6
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\007_006_003.npy,6
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\007_006_004.npy,6
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\007_006_005.npy,6
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\007_007_001.npy,6
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\007_007_002.npy,6
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\007_007_003.npy,6
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\007_007_004.npy,6
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\007_007_005.npy,6
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\008_001_001.npy,7
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\008_001_002.npy,7
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\008_001_003.npy,7
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\008_001_004.npy,7
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\008_001_005.npy,7
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\008_002_001.npy,7
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\008_002_002.npy,7
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\008_002_003.npy,7
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\008_002_004.npy,7
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\008_002_005.npy,7
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\008_003_001.npy,7
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\008_003_002.npy,7
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\008_003_003.npy,7
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\008_003_004.npy,7
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\008_003_005.npy,7
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\008_004_001.npy,7
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\008_004_002.npy,7
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\008_004_003.npy,7
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\008_004_004.npy,7
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\008_004_005.npy,7
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\008_005_001.npy,7
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\008_005_002.npy,7
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\008_005_003.npy,7
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\008_005_004.npy,7
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\008_005_005.npy,7
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\008_006_001.npy,7
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\008_006_002.npy,7
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\008_006_003.npy,7
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\008_006_004.npy,7
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\008_006_005.npy,7
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\008_007_001.npy,7
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\008_007_002.npy,7
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\008_007_003.npy,7
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\008_007_004.npy,7
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\008_007_005.npy,7
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\009_001_001.npy,8
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\009_001_002.npy,8
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\009_001_003.npy,8
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\009_001_004.npy,8
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\009_001_005.npy,8
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\009_002_001.npy,8
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\009_002_002.npy,8
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\009_002_003.npy,8
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\009_002_004.npy,8
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\009_002_005.npy,8
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\009_003_001.npy,8
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\009_003_002.npy,8
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\009_003_003.npy,8
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\009_003_004.npy,8
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\009_003_005.npy,8
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\009_004_001.npy,8
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\009_004_002.npy,8
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\009_004_003.npy,8
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\009_004_004.npy,8
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\009_004_005.npy,8
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\009_005_001.npy,8
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\009_005_002.npy,8
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\009_005_003.npy,8
C:\Users\AB\Downloads\Sign_Recognition_Model\data\processed\sequences\009_005_004.npy,8
