video_path,label
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\053_007_002.mp4,52
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\013_003_004.mp4,12
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\031_010_002.mp4,30
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\058_010_001.mp4,57
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\021_010_001.mp4,20
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\029_005_001.mp4,28
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\031_010_003.mp4,30
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\053_007_005.mp4,52
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\024_010_005.mp4,23
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\053_003_003.mp4,52
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\012_004_001.mp4,11
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\039_004_005.mp4,38
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\061_003_003.mp4,60
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\024_004_001.mp4,23
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\025_009_002.mp4,24
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\037_008_005.mp4,36
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\029_002_002.mp4,28
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\024_001_003.mp4,23
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\039_009_003.mp4,38
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\023_007_004.mp4,22
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\006_003_004.mp4,5
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\024_010_002.mp4,23
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\032_001_005.mp4,31
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\031_002_004.mp4,30
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\023_001_003.mp4,22
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\033_001_004.mp4,32
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\009_001_002.mp4,8
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\027_007_001.mp4,26
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\023_010_001.mp4,22
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\036_001_003.mp4,35
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\060_009_004.mp4,59
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\036_005_005.mp4,35
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\026_008_005.mp4,25
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\036_006_002.mp4,35
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\022_009_001.mp4,21
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\019_002_002.mp4,18
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\022_005_004.mp4,21
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\057_002_004.mp4,56
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\048_008_004.mp4,47
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\059_002_002.mp4,58
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\029_006_001.mp4,28
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\024_009_003.mp4,23
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\056_010_001.mp4,55
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\018_010_001.mp4,17
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\060_002_001.mp4,59
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\061_006_001.mp4,60
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\037_008_003.mp4,36
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\021_006_005.mp4,20
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\017_003_001.mp4,16
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\002_003_002.mp4,1
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\029_008_002.mp4,28
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\025_008_004.mp4,24
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\010_002_005.mp4,9
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\063_005_005.mp4,62
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\047_006_001.mp4,46
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\052_008_005.mp4,51
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\022_006_003.mp4,21
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\028_002_005.mp4,27
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\038_003_003.mp4,37
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\007_001_005.mp4,6
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\047_010_005.mp4,46
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\038_003_004.mp4,37
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\001_005_002.mp4,0
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\008_003_003.mp4,7
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\047_004_003.mp4,46
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\004_004_004.mp4,3
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\051_007_002.mp4,50
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\012_009_004.mp4,11
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\056_005_004.mp4,55
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\026_008_003.mp4,25
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\051_010_001.mp4,50
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\008_009_005.mp4,7
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\062_009_005.mp4,61
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\042_007_001.mp4,41
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\025_001_003.mp4,24
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\061_002_002.mp4,60
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\016_009_004.mp4,15
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\001_007_005.mp4,0
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\002_010_004.mp4,1
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\001_001_002.mp4,0
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\021_005_001.mp4,20
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\015_003_001.mp4,14
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\052_005_004.mp4,51
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\041_009_001.mp4,40
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\011_006_005.mp4,10
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\056_006_001.mp4,55
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\039_004_002.mp4,38
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\022_007_001.mp4,21
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\054_005_003.mp4,53
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\016_001_002.mp4,15
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\020_008_003.mp4,19
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\005_002_003.mp4,4
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\011_008_004.mp4,10
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\063_004_003.mp4,62
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\003_004_001.mp4,2
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\017_008_005.mp4,16
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\014_002_003.mp4,13
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\014_007_001.mp4,13
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\031_002_003.mp4,30
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\033_003_005.mp4,32
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\042_005_002.mp4,41
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\020_009_003.mp4,19
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\008_004_004.mp4,7
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\019_004_004.mp4,18
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\024_001_001.mp4,23
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\041_009_004.mp4,40
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\007_009_002.mp4,6
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\037_007_004.mp4,36
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\050_006_001.mp4,49
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\010_007_002.mp4,9
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\035_006_001.mp4,34
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\042_005_001.mp4,41
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\012_005_001.mp4,11
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\016_007_005.mp4,15
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\034_001_004.mp4,33
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\018_004_004.mp4,17
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\002_008_004.mp4,1
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\020_005_003.mp4,19
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\009_004_002.mp4,8
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\061_002_001.mp4,60
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\057_009_001.mp4,56
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\035_005_001.mp4,34
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\005_003_001.mp4,4
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\030_001_003.mp4,29
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\049_001_002.mp4,48
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\040_003_001.mp4,39
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\026_004_005.mp4,25
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\050_003_003.mp4,49
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\037_006_003.mp4,36
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\054_010_002.mp4,53
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\024_001_002.mp4,23
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\005_009_003.mp4,4
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\005_007_005.mp4,4
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\061_004_005.mp4,60
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\003_009_005.mp4,2
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\011_010_004.mp4,10
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\004_007_001.mp4,3
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\060_006_003.mp4,59
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\028_007_005.mp4,27
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\003_003_001.mp4,2
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\034_008_003.mp4,33
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\007_010_004.mp4,6
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\046_006_001.mp4,45
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\052_009_005.mp4,51
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\057_002_001.mp4,56
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\023_002_004.mp4,22
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\002_005_003.mp4,1
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\004_004_002.mp4,3
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\043_003_005.mp4,42
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\043_003_001.mp4,42
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\058_010_002.mp4,57
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\041_006_002.mp4,40
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\019_008_005.mp4,18
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\046_009_003.mp4,45
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\050_004_001.mp4,49
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\056_008_004.mp4,55
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\001_007_003.mp4,0
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\027_006_001.mp4,26
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\057_001_003.mp4,56
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\021_009_003.mp4,20
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\050_007_002.mp4,49
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\031_007_003.mp4,30
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\051_008_003.mp4,50
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\022_008_001.mp4,21
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\029_009_001.mp4,28
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\027_009_004.mp4,26
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\017_005_002.mp4,16
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\005_004_001.mp4,4
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\015_002_005.mp4,14
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\057_004_004.mp4,56
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\044_006_002.mp4,43
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\004_005_001.mp4,3
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\006_010_004.mp4,5
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\045_002_002.mp4,44
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\007_005_002.mp4,6
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\013_007_004.mp4,12
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\005_005_004.mp4,4
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\029_009_004.mp4,28
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\028_001_004.mp4,27
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\039_005_003.mp4,38
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\005_002_005.mp4,4
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\027_009_002.mp4,26
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\023_002_002.mp4,22
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\012_002_002.mp4,11
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\051_004_002.mp4,50
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\015_008_003.mp4,14
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\015_009_005.mp4,14
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\061_007_001.mp4,60
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\021_006_002.mp4,20
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\001_002_001.mp4,0
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\010_008_004.mp4,9
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\042_005_005.mp4,41
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\001_008_005.mp4,0
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\023_003_005.mp4,22
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\001_002_002.mp4,0
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\015_008_005.mp4,14
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\031_001_002.mp4,30
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\040_008_003.mp4,39
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\028_009_001.mp4,27
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\050_008_002.mp4,49
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\036_005_002.mp4,35
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\028_003_003.mp4,27
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\024_005_001.mp4,23
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\014_001_002.mp4,13
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\014_006_004.mp4,13
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\048_005_005.mp4,47
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\060_007_004.mp4,59
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\046_006_002.mp4,45
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\042_010_003.mp4,41
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\047_009_004.mp4,46
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\037_009_002.mp4,36
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\041_008_003.mp4,40
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\005_005_002.mp4,4
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\037_002_004.mp4,36
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\035_010_005.mp4,34
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\037_005_003.mp4,36
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\037_003_001.mp4,36
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\056_008_005.mp4,55
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\044_006_001.mp4,43
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\056_009_003.mp4,55
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\003_004_005.mp4,2
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\045_010_001.mp4,44
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\007_003_002.mp4,6
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\024_009_001.mp4,23
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\063_009_003.mp4,62
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\056_006_005.mp4,55
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\059_006_002.mp4,58
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\029_006_005.mp4,28
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\040_005_004.mp4,39
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\020_006_001.mp4,19
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\063_009_001.mp4,62
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\019_006_002.mp4,18
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\041_006_003.mp4,40
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\055_001_003.mp4,54
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\022_001_001.mp4,21
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\029_007_001.mp4,28
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\008_004_005.mp4,7
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\028_004_001.mp4,27
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\024_010_004.mp4,23
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\016_003_005.mp4,15
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\063_007_003.mp4,62
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\038_009_002.mp4,37
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\020_006_002.mp4,19
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\038_002_001.mp4,37
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\038_002_005.mp4,37
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\031_005_001.mp4,30
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\009_006_002.mp4,8
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\060_010_001.mp4,59
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\006_002_004.mp4,5
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\035_001_004.mp4,34
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\035_003_004.mp4,34
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\050_008_001.mp4,49
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\053_010_003.mp4,52
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\018_009_003.mp4,17
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\013_001_001.mp4,12
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\061_010_004.mp4,60
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\048_003_001.mp4,47
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\053_004_005.mp4,52
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\026_008_002.mp4,25
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\035_002_004.mp4,34
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\018_008_005.mp4,17
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\063_006_002.mp4,62
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\064_007_001.mp4,63
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\044_006_003.mp4,43
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\058_006_005.mp4,57
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\040_002_001.mp4,39
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\015_007_002.mp4,14
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\064_005_005.mp4,63
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\057_002_003.mp4,56
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\034_002_002.mp4,33
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\007_005_005.mp4,6
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\007_010_001.mp4,6
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\059_006_003.mp4,58
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\064_008_001.mp4,63
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\040_001_005.mp4,39
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\023_010_004.mp4,22
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\039_006_003.mp4,38
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\044_003_004.mp4,43
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\008_009_001.mp4,7
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\020_002_003.mp4,19
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\062_004_001.mp4,61
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\019_007_004.mp4,18
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\021_008_004.mp4,20
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\020_007_004.mp4,19
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\055_010_003.mp4,54
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\031_009_002.mp4,30
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\020_004_002.mp4,19
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\030_008_003.mp4,29
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\035_009_003.mp4,34
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\039_004_001.mp4,38
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\039_006_004.mp4,38
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\039_003_005.mp4,38
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\044_001_001.mp4,43
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\023_004_005.mp4,22
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\055_001_005.mp4,54
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\003_005_005.mp4,2
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\010_010_003.mp4,9
C:\Users\AB\Downloads\Sign_Recognition_Model\data\raw\018_005_005.mp4,17
